pair_index	label	native_rank	computed_score	duration_bars	start_a_ms	start_b_ms	duration_ms	speed_a	speed_b	top_preset_id
5	billie-jean-to-nirvana	9	3.8500001430511475	2	277010	13710	4100	1	0.9951204657554626	10
5	billie-jean-to-nirvana	10	3.4800000190734863	8	274960	23830	16390	1	1.0097630023956299	3
5	billie-jean-to-nirvana	11	3.4800000190734863	8	274960	25870	16390	1	1.0115934610366821	5
5	billie-jean-to-nirvana	12	3.4549999237060547	8	272920	23830	16380	1	1.010378122329712	8
5	billie-jean-to-nirvana	13	3.4549999237060547	8	277010	23830	16380	1	1.010378122329712	3
5	billie-jean-to-nirvana	14	3.4549999237060547	8	277010	25870	16380	1	1.0122096538543701	17
5	billie-jean-to-nirvana	15	2.3345112800598145	16	254480	23830	32770	1	1.010375738143921	10
5	billie-jean-to-nirvana	16	2.243004560470581	16	250400	23830	32750	1	1.0109919309616089	10
5	billie-jean-to-nirvana	17	2.280043125152588	16	252440	23830	32770	1	1.0103752613067627	5
5	billie-jean-to-nirvana	18	2.2208924293518066	16	254480	25870	32770	1	1.010680913925171	4
5	billie-jean-to-nirvana	19	2.216848850250244	16	248350	23830	32760	1	1.010683536529541	2
6	bohemian-to-brightside	0	2.843209743499756	2	283320	4857	3530	1	0.918980598449707	10
6	bohemian-to-brightside	1	2.8223037719726562	2	283320	11345	3530	1	0.918980598449707	1
6	bohemian-to-brightside	2	2.8223037719726562	2	283320	17833	3530	1	0.9189808964729309	1
6	bohemian-to-brightside	3	2.7892532348632812	2	281590	4857	3490	1	0.9295156002044678	19
6	bohemian-to-brightside	4	2.795081615447998	2	283320	30810	3530	1	0.9189803600311279	19
6	bohemian-to-brightside	5	2.735295295715332	4	279860	3235	6990	1	0.928184449672699	17
6	bohemian-to-brightside	6	2.7151827812194824	4	279860	9723	6990	1	0.9281843900680542	8
6	bohemian-to-brightside	7	2.7151827812194824	4	279860	4857	6990	1	0.9281843900680542	9
6	bohemian-to-brightside	8	2.7151827812194824	4	279860	16211	6990	1	0.9281845688819885	17
6	bohemian-to-brightside	9	2.680401563644409	4	278100	3235	6980	1	0.9295114874839783	8
6	bohemian-to-brightside	10	2.277787685394287	8	272910	1613	13940	1	0.9308463931083679	1
6	bohemian-to-brightside	11	2.1604840755462646	8	271160	1613	13920	1	0.9321830868721008	5
6	bohemian-to-brightside	12	2.137972116470337	8	272910	3235	13940	1	0.9308463335037231	4
6	bohemian-to-brightside	13	2.0463051795959473	8	272910	12967	13940	1	0.9309181571006775	3
6	bohemian-to-brightside	14	2.045379161834717	8	272910	4857	13940	1	0.9308463335037231	19
7	brightside-to-dont-stop	0	3.0869109630584717	2	215725	33690	3244	1	0.9525268077850342	10
7	brightside-to-dont-stop	1	2.996119737625122	2	214102	33690	3245	1	0.952231228351593	19
7	brightside-to-dont-stop	2	2.996119737625122	2	217347	33690	3244	1	0.9525312781333923	1
7	brightside-to-dont-stop	3	2.995925188064575	2	215725	35220	3244	1	0.9617742896080017	1
7	brightside-to-dont-stop	4	2.977961301803589	2	212480	33690	3245	1	0.9522356986999512	10
7	brightside-to-dont-stop	5	2.9049386978149414	4	214102	33690	6489	1	0.9570042490959167	8
7	brightside-to-dont-stop	6	2.8835787773132324	4	212480	33690	6489	1	0.9570042490959167	3
7	brightside-to-dont-stop	7	2.815702438354492	4	214102	35220	6489	1	0.9570042490959167	3
7	brightside-to-dont-stop	8	2.8024115562438965	4	215725	33690	6488	1	0.9571505784988403	3
7	brightside-to-dont-stop	9	2.7949986457824707	4	212480	35220	6489	1	0.9570042490959167	19
